run_name,frame_dose_rate,tilt_series_max_angle,tilt_series_min_angle,tilt_series_quality_score,tilt_series_tilt_step,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality,ts-tilt_step
mka2018-10-02-14,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-15,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-16,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-17,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-18,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-19,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-20,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-21,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-22,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-23,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-24,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-25,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-26,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-27,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-28,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-29,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-30,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-31,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-32,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-33,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-34,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-35,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-36,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-37,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-38,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-39,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-40,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-41,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-03-1,2.9411764705882355,50.0,-50.0,1.0,2.0,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-10-03-2,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-3,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-4,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-5,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-6,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-7,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-8,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-9,2.9411764705882355,46.0,-50.0,3.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,46.0,-50.0,3,2.0
mka2018-10-03-11,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-12,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-13,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-14,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-15,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-16,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-17,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-18,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-19,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-20,2.9411764705882355,48.0,-50.0,3.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,48.0,-50.0,3,2.0
mka2018-10-03-21,2.9411764705882355,50.0,-50.0,1.0,2.0,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-10-03-22,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-23,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-24,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-25,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-26,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-27,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-28,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-29,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-30,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-31,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-32,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-33,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-34,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-35,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-36,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-37,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-38,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-39,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-40,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-10-03-41,2.9411764705882355,50.0,-50.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
