run_name,frame_dose_rate,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality,ts-tilt_step
mka2018-08-16-30,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-31,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-32,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-33,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-38,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,32.0,-60.0,2,2.0
mka2018-08-16-40,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-78,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-79,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-80,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-81,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-82,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-83,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-84,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-85,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-86,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-87,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-88,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-89,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-90,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-91,2.9411764705882355,,NON_FIDUCIAL,,,,,0.0,-50.0,1,2.0
mka2018-08-16-92,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-93,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-94,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-95,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-96,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-97,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-98,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-99,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-100,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-110,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-111,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-112,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-113,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-114,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-115,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-116,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-117,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-118,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-119,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-120,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-121,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-122,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-123,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-34,2.459016393442623,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-08-16-39,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-43,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-44,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-45,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-46,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-47,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-48,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-49,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-50,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-51,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-55,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,-12.0,-50.0,2,1.0
mka2018-08-16-56,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-57,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-58,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-59,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-60,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-61,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-62,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-63,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,-1.0,-50.0,2,1.0
mka2018-08-16-64,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-65,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,26.0,-50.0,3,1.0
mka2018-08-16-66,1.4851485148514851,,NON_FIDUCIAL,,,,,50.0,-50.0,1,1.0
mka2018-08-16-67,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-68,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-69,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,23.0,-50.0,3,1.0
mka2018-08-16-70,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-71,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,28.0,-50.0,3,1.0
mka2018-08-16-72,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-73,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-74,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-75,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-76,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-08-16-77,1.4851485148514851,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
