run_name,tomo-align_softwares,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_path
dga2016-11-04-65,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20036.mrc
dga2016-11-04-66,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20037.mrc
dga2016-11-04-68,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20039.mrc
dga2016-11-04-69,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20040.mrc
dga2016-11-04-70,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20041.mrc
dga2016-11-04-72,['RAPTOR'],,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/15D_Pos4_atlas20043.mrc
dga2016-11-04-73,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20044.mrc
dga2016-11-04-74,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20045.mrc
dga2016-11-04-75,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20046.mrc
dga2016-11-04-76,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20047.mrc
dga2016-11-04-77,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20048.mrc
dga2016-11-04-78,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20049.mrc
dga2016-11-04-81,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20052.mrc
dga2016-11-04-82,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20053.mrc
dga2016-11-04-83,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20054.mrc
dga2016-11-04-84,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20055.mrc
dga2016-11-04-86,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20057.mrc
dga2016-11-04-87,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20058.mrc
dga2016-11-04-89,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20060.mrc
dga2016-11-04-90,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20061.mrc
dga2016-11-04-93,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20064.mrc
dga2016-11-04-94,['RAPTOR'],,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/15D_Pos4_atlas20065.mrc
dga2016-11-04-96,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20067.mrc
dga2016-11-04-97,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20068.mrc
dga2016-11-04-99,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20070.mrc
dga2016-11-04-101,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20072.mrc
dga2016-11-04-102,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20073.mrc
dga2016-11-04-103,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20074.mrc
dga2016-11-04-104,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20075.mrc
