run_name,tomo-align_softwares,ts-tilt_alignment_software,ts-tilt_series_path
aba2015-02-12-12,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0015.mrc
aba2015-02-12-13,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0016.mrc
aba2015-02-12-14,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0017.mrc
aba2015-02-12-15,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0018.mrc
aba2015-02-12-16,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0019.mrc
aba2015-02-12-17,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0020.mrc
aba2015-02-12-19,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0022.mrc
aba2015-02-12-20,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0023.mrc
aba2015-02-12-22,['Batchruntomo'],Batchruntomo,rawdata/Pseudoaerplusinduced0025.mrc
aba2015-02-12-24,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0027.mrc
aba2015-02-12-25,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0028.mrc
aba2015-02-12-27,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0030.mrc
aba2015-02-12-28,['Batchruntomo'],Batchruntomo,rawdata/Pseudoaerplusinduced0031.mrc
aba2015-02-12-29,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0032.mrc
aba2015-02-12-30,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0033.mrc
aba2015-02-12-31,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0034.mrc
aba2015-02-12-32,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0035.mrc
