run_name,tomo-align_softwares,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,ts-tilt_alignment_software,ts-tilt_series_path
dga2017-07-08-27,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0014.mrc
dga2017-07-08-28,['RAPTOR'],,Weighted back projection,IMOD,RAPTOR,rawdata/area1-20170708-JV9114tomo0001a0054.mrc
dga2017-07-08-29,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0015.mrc
dga2017-07-08-30,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170708-JV9114tomo0001a0055.mrc
dga2017-07-08-31,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0016.mrc
dga2017-07-08-32,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170708-JV9114tomo0001a0056.mrc
dga2017-07-08-33,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0017.mrc
dga2017-07-08-34,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170708-JV9114tomo0001a0057.mrc
dga2017-07-08-35,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0018.mrc
dga2017-07-08-36,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170708-JV9114tomo0001a0058.mrc
dga2017-07-08-37,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0019.mrc
dga2017-07-08-38,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170708-JV9114tomo0001a0059.mrc
dga2017-07-08-39,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0020.mrc
dga2017-07-08-40,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170708-JV9114tomo0001a0060.mrc
dga2017-07-08-41,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0021.mrc
dga2017-07-08-42,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0044.mrc
dga2017-07-08-43,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170708-JV9114tomo0001a0061.mrc
dga2017-07-08-44,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0022.mrc
dga2017-07-08-45,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170708-JV9114tomo0001a0062.mrc
dga2017-07-08-46,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0023.mrc
dga2017-07-08-47,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0034.mrc
dga2017-07-08-48,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170708-JV9114tomo0001a0063.mrc
dga2017-07-08-49,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0024.mrc
dga2017-07-08-50,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170708-JV9114tomo0001a0064.mrc
dga2017-07-08-51,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0025.mrc
dga2017-07-08-52,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170708-JV9114tomo0001a0065.mrc
dga2017-07-08-53,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0026.mrc
dga2017-07-08-54,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170708-JV9114tomo0001a0066.mrc
dga2017-07-08-55,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0027.mrc
dga2017-07-08-56,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170708-JV9114tomo0001a0067.mrc
dga2017-07-08-57,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0028.mrc
dga2017-07-08-58,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0001.mrc
dga2017-07-08-59,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0029.mrc
dga2017-07-08-60,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0002.mrc
dga2017-07-08-61,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0030.mrc
dga2017-07-08-62,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0003.mrc
dga2017-07-08-63,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0031.mrc
dga2017-07-08-64,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0004.mrc
dga2017-07-08-65,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0032.mrc
dga2017-07-08-66,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0005.mrc
dga2017-07-08-67,['RAPTOR'],,Weighted back projection,IMOD,RAPTOR,rawdata/area1-20170707-JV9114tomo0033.mrc
dga2017-07-08-68,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0041.mrc
dga2017-07-08-69,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0006.mrc
dga2017-07-08-70,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0042.mrc
dga2017-07-08-71,['RAPTOR'],,Weighted back projection,IMOD,RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0007.mrc
dga2017-07-08-72,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0043.mrc
dga2017-07-08-73,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0008.mrc
dga2017-07-08-74,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0045.mrc
dga2017-07-08-75,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0009.mrc
dga2017-07-08-76,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0010.mrc
dga2017-07-08-77,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0011.mrc
dga2017-07-08-78,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0012.mrc
dga2017-07-08-79,['RAPTOR'],,Weighted back projection,IMOD,RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0013.mrc
dga2017-07-08-80,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0014.mrc
dga2017-07-08-81,['RAPTOR'],IMOD,Weighted back projection,IMOD,RAPTOR;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0015.mrc
dga2017-07-08-82,['RAPTOR'],,Weighted back projection,IMOD,RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0016.mrc
dga2017-07-08-83,['RAPTOR'],,Weighted back projection,IMOD,RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0017.mrc
dga2017-07-08-84,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0018.mrc
dga2017-07-08-85,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0019.mrc
dga2017-07-08-86,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0020.mrc
dga2017-07-08-87,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0021.mrc
dga2017-07-08-88,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0022.mrc
dga2017-07-08-89,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0023.mrc
dga2017-07-08-90,['RAPTOR'],,Weighted back projection,IMOD,RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0024.mrc
dga2017-07-08-91,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0025.mrc
dga2017-07-08-92,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0026.mrc
dga2017-07-08-93,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0027.mrc
dga2017-07-08-94,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0028.mrc
dga2017-07-08-95,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0029.mrc
dga2017-07-08-96,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0030.mrc
dga2017-07-08-97,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area2-20170708-JV9114tomo0001p0031.mrc
dga2017-07-08-98,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0032.mrc
dga2017-07-08-99,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0033.mrc
dga2017-07-08-100,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0034.mrc
dga2017-07-08-101,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0035.mrc
dga2017-07-08-102,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0036.mrc
dga2017-07-08-103,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0037.mrc
dga2017-07-08-104,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0038.mrc
dga2017-07-08-105,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area2-20170708-JV9114tomo0001p0039.mrc
