run_name,tomo-align_software,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,ts-tilt_alignment_software
dga2016-01-15-32,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-33,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-34,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-35,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-36,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-37,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-38,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-39,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-42,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-44,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-45,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-46,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-47,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-49,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-50,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-51,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-53,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-55,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-56,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-57,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-58,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-59,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-60,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-61,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-62,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-63,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-64,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-65,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-66,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-67,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-68,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-69,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-70,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-71,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-72,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-74,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-75,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-76,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-77,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-78,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-79,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-80,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-82,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-83,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-84,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-85,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-86,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-87,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-89,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-90,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-91,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-92,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-93,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-95,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-96,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-97,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-98,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-99,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-40,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-15-41,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-15-43,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-15-48,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-15-52,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-15-54,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-15-73,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-15-88,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
